x y

Blue Cone Positions
8.0000	0
7.9369	1.0027
7.7487	1.9895
7.4382	2.9450
7.0105	3.8540
6.4721	4.7023
5.8317	5.4764
5.0994	6.1641
4.2866	6.7546
3.4062	7.2386
2.4721	7.6085
1.4991	7.8583
0.5023	7.9842
-0.5023	7.9842
-1.4991	7.8583
-2.4721	7.6085
-3.4062	7.2386
-4.2866	6.7546
-5.0994	6.1641
-5.8317	5.4764
-6.4721	4.7023
-7.0105	3.8540
-7.4382	2.9450
-7.7487	1.9895
-7.9369	1.0027
-8.0000	0.0000
-7.9369	-1.0027
-7.7487	-1.9895
-7.4382	-2.9450
-7.0105	-3.8540
-6.4721	-4.7023
-5.8317	-5.4764
-5.0994	-6.1641
-4.2866	-6.7546
-3.4062	-7.2386
-2.4721	-7.6085
-1.4991	-7.8583
-0.5023	-7.9842
0.5023	-7.9842
1.4991	-7.8583
2.4721	-7.6085
3.4062	-7.2386
4.2866	-6.7546
5.0994	-6.1641
5.8317	-5.4764
6.4721	-4.7023
7.0105	-3.8540
7.4382	-2.9450
7.7487	-1.9895
7.9369	-1.0027


Yellow Cone Positions
6.0000	0
5.9527	0.7520
5.8115	1.4921
5.5787	2.2087
5.2578	2.8905
4.8541	3.5267
4.3738	4.1073
3.8245	4.6231
3.2150	5.0660
2.5547	5.4290
1.8541	5.7063
1.1243	5.8937
0.3767	5.9882
-0.3767	5.9882
-1.1243	5.8937
-1.8541	5.7063
-2.5547	5.4290
-3.2150	5.0660
-3.8245	4.6231
-4.3738	4.1073
-4.8541	3.5267
-5.2578	2.8905
-5.5787	2.2087
-5.8115	1.4921
-5.9527	0.7520
-6.0000	0.0000
-5.9527	-0.7520
-5.8115	-1.4921
-5.5787	-2.2087
-5.2578	-2.8905
-4.8541	-3.5267
-4.3738	-4.1073
-3.8245	-4.6231
-3.2150	-5.0660
-2.5547	-5.4290
-1.8541	-5.7063
-1.1243	-5.8937
-0.3767	-5.9882
0.3767	-5.9882
1.1243	-5.8937
1.8541	-5.7063
2.5547	-5.4290
3.2150	-5.0660
3.8245	-4.6231
4.3738	-4.1073
4.8541	-3.5267
5.2578	-2.8905
5.5787	-2.2087
5.8115	-1.4921
5.9527	-0.7520




Orange Cone Positions



